,STATION,ENTRIES,EXITS,geometry
82,36 av,-0.33740102936153754,-0.2837962253614075,POINT (-73.929861999118 40.7564420005104)
83,39 av,-0.4199518239550714,-0.3599891095994397,POINT (-73.93285137679598 40.75276306140845)
84,4 av 9 st,-0.3607660665798419,-0.29896771485985835,POINT (-73.98977899938897 40.67027166728493)
85,4 av 9 st,-0.3607660665798419,-0.29896771485985835,POINT (-73.98830199974512 40.67084666684276)
86,4 av 9 st,-0.40620696541154505,-0.3628538132709291,POINT (-73.98977899938897 40.67027166728493)
87,4 av 9 st,-0.40620696541154505,-0.3628538132709291,POINT (-73.98830199974512 40.67084666684276)
88,40 st,-0.3162570084305036,-0.2839628305965551,POINT (-73.9240159984882 40.74378100149132)
89,42 st,0.8990821674362531,0.5954622752846878,POINT (-73.98459099904711 40.75418400131255)
90,42 st,0.8990821674362531,0.5954622752846878,POINT (-73.98973500085859 40.7573079985515)
91,42 st,1.679778915184376,1.3780930178293447,POINT (-73.98459099904711 40.75418400131255)
92,42 st,1.679778915184376,1.3780930178293447,POINT (-73.98973500085859 40.7573079985515)
93,45 st,0.59179713822327,3.869886487953822,POINT (-74.01000600074939 40.64893866661281)
94,46 st,-0.38260883676500196,-0.34118241923622405,POINT (-73.91352174995538 40.7563169526081)
95,46 st,-0.38260883676500196,-0.34118241923622405,POINT (-73.91843500103973 40.74313200060382)
96,4750 sts rock,0.47766081364618296,0.5184757445016147,POINT (-73.98133100227702 40.75864100159815)
97,49 st,-0.39400405278153355,-0.2926142322937365,POINT (-73.98420956591096 40.75980197387069)
98,5 av 53 st,-0.38750862904325706,-0.32077074055817933,POINT (-73.9752485052734 40.76008683231326)
99,5 av 59 st,-0.26646912316825205,-0.3409244730778337,POINT (-73.97334700047045 40.76481099975528)
100,5 av,0.38566247826576533,0.1151045437754426,POINT (-73.98196299856706 40.75382100064824)
101,50 st,-0.38658720968890176,-0.3371555965228074,POINT (-73.98384899986625 40.76172799961419)
102,50 st,-0.38658720968890176,-0.3371555965228074,POINT (-73.9946587805514 40.6362608909614)
103,50 st,-0.38658720968890176,-0.3371555965228074,POINT (-73.98598400026407 40.76245599925997)
104,51 st,-0.08832479591994224,-0.09424265485038591,POINT (-73.97192000069982 40.75710699989316)
105,53 st,-0.33792801466275757,-0.3291634157139215,POINT (-74.01403399986317 40.64506866735981)
106,55 st,-0.3963999844215867,-0.3471872586017652,POINT (-73.99534882595742 40.63147876093745)
107,59 st,0.09243253350037768,0.06840046465254977,POINT (-73.98192900232715 40.76824700063689)
108,59 st,0.09243253350037768,0.06840046465254977,POINT (-73.98164872301398 40.76824953177606)
109,59 st,0.09243253350037768,0.06840046465254977,POINT (-74.01788099953987 40.6413616662838)
110,59 st,0.7275215251808786,0.6521312864710019,POINT (-73.98192900232715 40.76824700063689)
111,59 st,0.7275215251808786,0.6521312864710019,POINT (-73.98164872301398 40.76824953177606)
112,59 st,0.7275215251808786,0.6521312864710019,POINT (-74.01788099953987 40.6413616662838)
113,6 av,3.0537350904660348,3.105141769534883,POINT (-73.99775078874781 40.73774146981052)
114,63 dr,-0.30782587076814755,-0.37202651697280104,POINT (-73.86161820097203 40.72976397242243)
115,67 av,-0.3899347885926123,-0.3479146317709386,POINT (-73.85286048434907 40.72650547581301)
116,71 st,-0.381532732949519,-0.34659210327351897,POINT (-73.99884094850685 40.61925870977273)
117,72 st,-0.28403523476833115,-0.2782789100031484,POINT (-73.976336575218 40.77551939729258)
118,72 st,-0.28403523476833115,-0.2782789100031484,POINT (-73.98197000159583 40.77845300068614)
119,72 st,-0.28403523476833115,-0.2782789100031484,POINT (-73.95836178682246 40.76880251014895)
120,74 st,-0.41218453424143564,-0.3535536434156695,POINT (-73.8912051289911 40.74686757382911)
121,75 av,-0.24974403611947693,-0.38505735178856654,POINT (-73.83692369387158 40.71804465348743)
122,75 st,-0.41933247436977766,-0.36064776302034046,POINT (-73.86728799944963 40.69129000124673)
123,77 st,-0.3540197916277284,-0.32891154218954016,POINT (-73.95987399886047 40.77362000074615)
124,77 st,-0.3540197916277284,-0.32891154218954016,POINT (-74.02550999962661 40.62974166688691)
125,79 st,-0.03904263518273712,-0.34885067929314545,POINT (-73.97991700056134 40.78393399959032)
126,79 st,-0.03904263518273712,-0.34885067929314545,POINT (-74.00058287431507 40.61315892569516)
127,8 st,-0.2022127220174073,-0.32721250137877844,POINT (-73.99250799849149 40.73046499853991)
128,82 st,-0.412228013323035,-0.36254926585354835,POINT (-73.88369700071884 40.74765899955914)
129,85 st,-0.38372162570719653,-0.33125877484867666,POINT (-73.86008700006875 40.69242699966103)
130,86 st,0.43659609831484336,0.5802042943513354,POINT (-73.97621799859327 40.78864400073892)
131,86 st,0.43659609831484336,0.5802042943513354,POINT (-73.96882849429672 40.78582304678557)
132,86 st,0.43659609831484336,0.5802042943513354,POINT (-74.0283979999864 40.62268666715025)
133,86 st,0.43659609831484336,0.5802042943513354,POINT (-73.95558899985132 40.77949199820952)
134,86 st,0.43659609831484336,0.5802042943513354,POINT (-73.95177090964917 40.77786104333163)
135,90 st,-0.368871495752005,-0.3446540934448973,POINT (-73.87661299986985 40.74840800060913)
136,96 st,-0.4060149062034864,-0.34934870462329626,POINT (-73.9510700015425 40.78567199998607)
137,96 st,-0.4060149062034864,-0.34934870462329626,POINT (-73.96460245687166 40.79161879767014)
138,96 st,-0.4060149062034864,-0.34934870462329626,POINT (-73.97232299915696 40.79391900121471)
139,96 st,-0.4060149062034864,-0.34934870462329626,POINT (-73.9470660219183 40.78423665017765)
140,astoria blvd,-0.3451576069615194,-0.33403660285048953,POINT (-73.91809500109238 40.77003699949086)
141,atlantic av,-0.4388461266859408,-0.3832790811939452,POINT (-73.9030969995401 40.67534466640805)
142,bay ridge av,-0.3725049069679755,-0.34933692717266607,POINT (-74.02337699950728 40.63496666682377)
143,bay ridge 95 st,0.01307308370917373,-0.35804093230858736,POINT (-74.03087600085765 40.61662166725951)
144,beach 25 st,-0.4278425756302189,-0.36418452167718224,POINT (-73.76135299762073 40.60006600105881)
145,beach 36 st,-0.43685498409240997,-0.37545470279992765,POINT (-73.76817499939688 40.59539800166876)
146,beach 44 st,-0.44135314203065495,-0.3777182916397034,POINT (-73.77601299999507 40.59294299908617)
147,beach 60 st,-0.08602036104753139,-0.3577888495989961,POINT (-73.7885219980118 40.59237400121235)
148,beach 67 st,-0.4198971078487472,-0.35877949477336263,POINT (-73.79692399984209 40.59092700078133)
149,bedfo av,-0.22847439983195242,-0.2779232188043679,POINT (-73.95666499806525 40.71717399858899)
150,bedford,0.08123581425433114,-0.313758579507547,POINT (-73.95352200064022 40.68962700158444)
151,bergen st,-0.4199954675352594,-0.3629622642037936,POINT (-73.97499915116808 40.68086213682956)
152,bergen st,-0.4199954675352594,-0.3629622642037936,POINT (-73.99075649573565 40.68611054725977)
153,beverly rd,-0.1270380849706477,-0.3075562708561173,POINT (-73.96435779623125 40.64390459860419)
154,beverly rd,-0.1270380849706477,-0.3075562708561173,POINT (-73.94884798381702 40.64512351894373)
155,bleecker st,-0.4011055865368813,-0.36964442258200697,POINT (-73.99465900006331 40.72591466682659)
156,borough hall,-0.32579819386572706,-0.34262208490580387,POINT (-73.99015100090539 40.69240399999104)
157,borough hall,-0.32579819386572706,-0.34262208490580387,POINT (-73.98999799960687 40.69321899961108)
158,bowery,-0.3851500677208694,-0.3215899738478968,POINT (-73.99380690654237 40.72024688314725)
159,bowling green,0.7673185326679193,0.5110214573712487,POINT (-74.01400799803432 40.70491399928076)
